Chrom,Start,End,REL_217	REL_607	
NC_012967,0,573	0.9720768	0.8865619
NC_012967,594,969	1.0000000	0.8880000
NC_012967,971,3585	0.9609793	0.9410865
NC_012967,3586,3698	0.8303571	0.6250000
NC_012967,3719,7647	0.9704685	0.9455193
NC_012967,7659,9906	0.9795282	0.9047619
NC_012967,9907,10548	0.9531981	0.9422777
NC_012967,10552,11133	0.9948365	0.9259897
NC_012967,11156,15524	0.9615384	0.9725274
NC_012967,16599,22527	0.9691296	0.9733468
NC_012967,22530,22681	0.8807947	0.8940398
NC_012967,22682,22799	0.9145299	0.9829060
NC_012967,22803,23405	0.9501661	0.9817276
NC_012967,23413,23449	1.0000000	0.0000000
NC_012967,23922,23958	1.0000000	0.0000000
NC_012967,23982,26008	0.8909181	0.9763080
NC_012967,26009,35423	0.9566603	0.9429573
NC_012967,35442,36403	0.9365245	0.8917794
NC_012967,36423,41374	0.9569784	0.9616239
NC_012967,41380,43213	0.9547191	0.9481724
NC_012967,43218,44232	0.9033530	0.9082840
NC_012967,44245,44389	0.9236111	1.0000000
NC_012967,44393,52236	0.9590718	0.9398189
NC_012967,52238,53655	0.9336627	0.9202541
NC_012967,53658,53723	0.7538462	0.7384616
NC_012967,53724,56462	0.9821037	0.9842951
NC_012967,56464,57491	0.9873418	0.9318403
NC_012967,57514,61635	0.9750060	0.9638437
NC_012967,61666,62392	0.9228650	0.7424242
NC_012967,62393,64096	0.9735761	0.8737522
NC_012967,64100,71089	0.9602232	0.9557877
NC_012967,71095,71299	0.7549019	0.9117647
NC_012967,71305,71358	0.6792453	0.8490566
NC_012967,71371,73980	0.9862016	0.9436566
NC_012967,73992,74246	0.9488189	1.0000000
NC_012967,74270,74371	0.7821782	0.3762376
NC_012967,74377,76667	0.9362445	0.9314411
NC_012967,76679,78162	0.9460553	0.9211059
NC_012967,78170,82494	0.9662350	0.9273821
NC_012967,82496,82749	0.8695652	0.8774704
NC_012967,82762,83453	0.9363242	0.9522431
NC_012967,83457,86125	0.9711394	0.9411544
NC_012967,86149,86837	0.9447674	0.9244186
NC_012967,86843,88616	0.9723632	0.9402143
NC_012967,88633,90955	0.9767442	0.9052541
NC_012967,90972,96047	0.9799015	0.8837438
NC_012967,96061,96176	0.9913043	0.7043478
NC_012967,96183,96265	0.6585366	0.6463414
NC_012967,96267,102744	0.9578509	0.9640266
NC_012967,102759,103623	0.9363426	0.9201389
NC_012967,103628,103870	0.9710744	0.7851239
NC_012967,103877,104816	0.9392971	0.9371672
NC_012967,104817,108168	0.9456878	0.9746344
NC_012967,108182,109481	0.9861432	0.9784449
NC_012967,109496,109642	0.9041096	0.7739726
NC_012967,109654,112714	0.9683006	0.9777778
NC_012967,112725,114690	0.9613231	0.9638677
NC_012967,114695,114923	0.8684211	0.8245614
NC_012967,114937,118716	0.9822704	0.9100291
NC_012967,118720,120913	0.9740082	0.9598723
NC_012967,120915,132366	0.9514453	0.9609641
NC_012967,132386,138449	0.9660234	0.9490351
NC_012967,138454,140106	0.9733656	0.9546005
NC_012967,140107,140231	0.8387097	0.9435484
NC_012967,140240,150103	0.9724222	0.9606611
NC_012967,150111,150225	0.9298246	0.9824561
NC_012967,150227,160174	0.9800945	0.9734594
NC_012967,160179,162199	0.9831683	0.9282178
NC_012967,162200,162402	0.8316832	0.6188119
NC_012967,162403,162827	0.9669811	0.9245283
NC_012967,162837,164789	0.9830943	0.9538934
NC_012967,164796,164974	0.9382023	0.7640449
NC_012967,164978,165922	0.9745763	0.9237288
NC_012967,165931,167091	0.9431034	0.9293103
NC_012967,167103,167556	0.9735099	0.7924945
NC_012967,167589,170200	0.9835312	0.9574875
NC_012967,170202,172954	0.9523982	0.9734738
NC_012967,172957,173593	0.8726415	0.9025157
NC_012967,173603,175101	0.9299065	0.9018692
NC_012967,175109,175269	0.8250000	0.8312500
NC_012967,175276,175962	0.9402332	0.8615161
NC_012967,175968,176025	1.0000000	0.6315789
NC_012967,176029,182307	0.9424976	0.9471169
NC_012967,182310,187329	0.9740984	0.9812711
NC_012967,187331,189841	0.9362550	0.9227092
NC_012967,189851,191494	0.9482654	0.8940961
NC_012967,191514,191550	1.0000000	0.0000000
NC_012967,191553,193149	0.9755639	0.9605263
NC_012967,193151,198596	0.9544536	0.9794307
NC_012967,198629,200830	0.9559291	0.9772831
NC_012967,200832,206805	0.9509459	0.9765612
NC_012967,206840,211339	0.9099800	0.9533229
